# VERSION UBUNTU BRANCH MANIFEST
5.10.35-2.0.0 18.04 imx-linux-hardknott imx-5.10.35-2.0.0.xml
5.10.52-2.1.0 20.04 imx-linux-hardknott imx-5.10.52-2.1.0.xml
5.10.72-2.2.0 20.04 imx-linux-hardknott imx-5.10.72-2.2.0.xml
5.15.5-1.0.0 20.04 imx-linux-kirkstone imx-5.15.5-1.0.0.xml
5.15.32-2.0.0 20.04 imx-linux-kirkstone imx-5.15.32-2.0.0.xml
5.15.52-2.1.0 20.04 imx-linux-kirkstone imx-5.15.52-2.1.0.xml
5.15.71-2.2.0 20.04 imx-linux-kirkstone imx-5.15.71-2.2.0.xml
6.1.1-1.0.0 22.04 imx-linux-langdale imx-6.1.1-1.0.0.xml
6.1.22-2.0.0 22.04 imx-linux-langdale imx-6.1.22-2.0.0.xml
6.1.36-2.1.0 22.04 imx-linux-langdale imx-6.1.36-2.1.0.xml
6.1.55-2.2.0 22.04 imx-linux-langdale imx-6.1.55-2.2.0.xml
6.6.3-1.0.0 22.04 imx-linux-mickledore imx-6.6.3-1.0.0.xml
6.6.36-2.1.0 22.04 imx-linux-mickledore imx-6.6.36-2.1.0.xml
6.6.52-2.2.0 22.04 imx-linux-mickledore imx-6.6.52-2.2.0.xml
6.12.3-1.0.0 24.04 imx-linux-nanbield imx-6.12.3-1.0.0.xml
6.12.20-2.0.0 24.04 imx-linux-nanbield imx-6.12.20-2.0.0.xml
6.12.34-2.1.0 24.04 imx-linux-nanbield imx-6.12.34-2.1.0.xml
6.12.49-2.2.0 24.04 imx-linux-nanbield imx-6.12.49-2.2.0.xml
6.18.2-1.0.0 24.04 imx-linux-whinlatter imx-6.18.2-1.0.0.xml
6.18.20-2.0.0 24.04 imx-linux-wrynose imx-6.18.20-2.0.0.xml
